"Station Name","YOHO NP EMERALD LAKE"
"Province","BRITISH COLUMBIA"
"Latitude","51.43"
"Longitude","-116.54"
"Elevation","1280.00"
"Climate Identifier","117R00G"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2014-01-01","2014","01","01","","","","","","","","","","","","","","","","","","","","","","",""
"2014-01-02","2014","01","02","","","","","","","","","","","","","","","","","","","","","","",""
"2014-01-03","2014","01","03","","","","","","","","","","","","","","","","","","","","","","",""
"2014-01-04","2014","01","04","","","","","","","","","","","","","","","","","","","","","","",""
"2014-01-05","2014","01","05","","","","","","","","","","","","","","","","","","","","","","",""
"2014-01-06","2014","01","06","","","","","","","","","","","","","","","","","","","","","","",""
"2014-01-07","2014","01","07","","","","","","","","","","","","","","","","","","","","","","",""
"2014-01-08","2014","01","08","","","","","","","","","","","","","","","","","","","","","","",""
"2014-01-09","2014","01","09","","","","","","","","","","","","","","","","","","","","","","",""
"2014-01-10","2014","01","10","","","","","","","","","","","","","","","","","","","","","","",""
"2014-01-11","2014","01","11","","","","","","","","","","","","","","","","","","","","","","",""
"2014-01-12","2014","01","12","","","","","","","","","","","","","","","","","","","","","","",""
"2014-01-13","2014","01","13","","","","","","","","","","","","","","","","","","","","","","",""
"2014-01-14","2014","01","14","","","","","","","","","","","","","","","","","","","","","","",""
"2014-01-15","2014","01","15","","","","","","","","","","","","","","","","","","","","","","",""
"2014-01-16","2014","01","16","","","","","","","","","","","","","","","","","","","","","","",""
"2014-01-17","2014","01","17","","","","","","","","","","","","","","","","","","","","","","",""
"2014-01-18","2014","01","18","","","","","","","","","","","","","","","","","","","","","","",""
"2014-01-19","2014","01","19","","","","","","","","","","","","","","","","","","","","","","",""
"2014-01-20","2014","01","20","","","","","","","","","","","","","","","","","","","","","","",""
"2014-01-21","2014","01","21","","","","","","","","","","","","","","","","","","","","","","",""
"2014-01-22","2014","01","22","","","","","","","","","","","","","","","","","","","","","","",""
"2014-01-23","2014","01","23","","","","","","","","","","","","","","","","","","","","","","",""
"2014-01-24","2014","01","24","","","","","","","","","","","","","","","","","","","","","","",""
"2014-01-25","2014","01","25","","","","","","","","","","","","","","","","","","","","","","",""
