"Station Name","YOHO NP EMERALD LAKE"
"Province","BRITISH COLUMBIA"
"Latitude","51.43"
"Longitude","-116.54"
"Elevation","1280.00"
"Climate Identifier","117R00G"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1997-01-01","1997","01","01","","","","","","","","","","","","","","","","","","","","","","",""
"1997-01-02","1997","01","02","","","","","","","","","","","","","","","","","","","","","","",""
"1997-01-03","1997","01","03","","","","","","","","","","","","","","","","","","","","","","",""
"1997-01-04","1997","01","04","","","","","","","","","","","","","","","","","","","","","","",""
"1997-01-05","1997","01","05","","","","","","","","","","","","","","","","","","","","","","",""
"1997-01-06","1997","01","06","","","","","","","","","","","","","","","","","","","","","","",""
"1997-01-07","1997","01","07","","","","","","","","","","","","","","","","","","","","","","",""
"1997-01-08","1997","01","08","","","","","","","","","","","","","","","","","","","","","","",""
"1997-01-09","1997","01","09","","","","","","","","","","","","","","","","","","","","","","",""
"1997-01-10","1997","01","10","","","","","","","","","","","","","","","","","","","","","","",""
"1997-01-11","1997","01","11","","","","","","","","","","","","","","","","","","","","","","",""
"1997-01-12","1997","01","12","","","","","","","","","","","","","","","","","","","","","","",""
"1997-01-13","1997","01","13","","","","","","","","","","","","","","","","","","","","","","",""
"1997-01-14","1997","01","14","","","","","","","","","","","","","","","","","","","","","","",""
"1997-01-15","1997","01","15","","","","","","","","","","","","","","","","","","","","","","",""
"1997-01-16","1997","01","16","","","","","","","","","","","","","","","","","","","","","","",""
"1997-01-17","1997","01","17","","","","","","","","","","","","","","","","","","","","","","",""
"1997-01-18","1997","01","18","","","","","","","","","","","","","","","","","","","","","","",""
"1997-01-19","1997","01","19","","","","","","","","","","","","","","","","","","","","","","",""
"1997-01-20","1997","01","20","","","","","","","","","","","","","","","","","","","","","","",""
"1997-01-21","1997","01","21","","","","","","","","","","","","","","","","","","","","","","",""
"1997-01-22","1997","01","22","","","","","","","","","","","","","","","","","","","","","","",""
"1997-01-23","1997","01","23","","","","","","","","","","","","","","","","","","","","","","",""
"1997-01-24","1997","01","24","","","","","","","","","","","","","","","","","","","","","","",""
"1997-01-25","1997","01","25","","","","","","","","","","","","","","","","","","","","","","",""
"1997-01-26","1997","01","26","","","","","","","","","","","","","","","","","","","","","","",""
"1997-01-27","1997","01","27","","","","","","","","","","","","","","","","","","","","","","",""
"1997-01-28","1997","01","28","","","","","","","","","","","","","","","","","","","","","","",""
"1997-01-29","1997","01","29","","","","","","","","","","","","","","","","","","","","","","",""
"1997-01-30","1997","01","30","","","","","","","","","","","","","","","","","","","","","","",""
"1997-01-31","1997","01","31","","","","","","","","","","","","","","","","","","","","","","",""
"1997-02-01","1997","02","01","","","","","","","","","","","","","","","","","","","","","","",""
"1997-02-02","1997","02","02","","","","","","","","","","","","","","","","","","","","","","",""
"1997-02-03","1997","02","03","","","","","","","","","","","","","","","","","","","","","","",""
"1997-02-04","1997","02","04","","","","","","","","","","","","","","","","","","","","","","",""
"1997-02-05","1997","02","05","","","","","","","","","","","","","","","","","","","","","","",""
"1997-02-06","1997","02","06","","","","","","","","","","","","","","","","","","","","","","",""
"1997-02-07","1997","02","07","","","","","","","","","","","","","","","","","","","","","","",""
