"Station Name","VANCOUVER HARBOUR CS"
"Province","BRITISH COLUMBIA"
"Latitude","49.30"
"Longitude","-123.12"
"Elevation","2.50"
"Climate Identifier","1108446"
"WMO Identifier","71201"
"TC Identifier","WHC"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1962-01-01","1962","01","01","","","","","","","","","","","","","","","","","","","","","","",""
"1962-01-02","1962","01","02","","","","","","","","","","","","","","","","","","","","","","",""
"1962-01-03","1962","01","03","","","","","","","","","","","","","","","","","","","","","","",""
"1962-01-04","1962","01","04","","","","","","","","","","","","","","","","","","","","","","",""
"1962-01-05","1962","01","05","","","","","","","","","","","","","","","","","","","","","","",""
"1962-01-06","1962","01","06","","","","","","","","","","","","","","","","","","","","","","",""
"1962-01-07","1962","01","07","","","","","","","","","","","","","","","","","","","","","","",""
"1962-01-08","1962","01","08","","","","","","","","","","","","","","","","","","","","","","",""
"1962-01-09","1962","01","09","","","","","","","","","","","","","","","","","","","","","","",""
"1962-01-10","1962","01","10","","","","","","","","","","","","","","","","","","","","","","",""
"1962-01-11","1962","01","11","","","","","","","","","","","","","","","","","","","","","","",""
"1962-01-12","1962","01","12","","","","","","","","","","","","","","","","","","","","","","",""
"1962-01-13","1962","01","13","","","","","","","","","","","","","","","","","","","","","","",""
"1962-01-14","1962","01","14","","","","","","","","","","","","","","","","","","","","","","",""
"1962-01-15","1962","01","15","","","","","","","","","","","","","","","","","","","","","","",""
"1962-01-16","1962","01","16","","","","","","","","","","","","","","","","","","","","","","",""
"1962-01-17","1962","01","17","","","","","","","","","","","","","","","","","","","","","","",""
