"Station Name","REVELSTOKE AIRPORT RD"
"Province","BRITISH COLUMBIA"
"Latitude","50.95"
"Longitude","-118.17"
"Elevation","450.00"
"Climate Identifier","1176751"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1999-01-01","1999","01","01","","","","","","","","","","","","","","","","","","","","","","",""
"1999-01-02","1999","01","02","","","","","","","","","","","","","","","","","","","","","","",""
"1999-01-03","1999","01","03","","","","","","","","","","","","","","","","","","","","","","",""
"1999-01-04","1999","01","04","","","","","","","","","","","","","","","","","","","","","","",""
"1999-01-05","1999","01","05","","","","","","","","","","","","","","","","","","","","","","",""
"1999-01-06","1999","01","06","","","","","","","","","","","","","","","","","","","","","","",""
"1999-01-07","1999","01","07","","","","","","","","","","","","","","","","","","","","","","",""
"1999-01-08","1999","01","08","","","","","","","","","","","","","","","","","","","","","","",""
"1999-01-09","1999","01","09","","","","","","","","","","","","","","","","","","","","","","",""
"1999-01-10","1999","01","10","","","","","","","","","","","","","","","","","","","","","","",""
"1999-01-11","1999","01","11","","","","","","","","","","","","","","","","","","","","","","",""
"1999-01-12","1999","01","12","","","","","","","","","","","","","","","","","","","","","","",""
"1999-01-13","1999","01","13","","","","","","","","","","","","","","","","","","","","","","",""
"1999-01-14","1999","01","14","","","","","","","","","","","","","","","","","","","","","","",""
"1999-01-15","1999","01","15","","","","","","","","","","","","","","","","","","","","","","",""
"1999-01-16","1999","01","16","","","","","","","","","","","","","","","","","","","","","","",""
"1999-01-17","1999","01","17","","","","","","","","","","","","","","","","","","","","","","",""
"1999-01-18","1999","01","18","","","","","","","","","","","","","","","","","","","","","","",""
"1999-01-19","1999","01","19","","","","","","","","","","","","","","","","","","","","","","",""
"1999-01-20","1999","01","20","","","","","","","","","","","","","","","","","","","","","","",""
"1999-01-21","1999","01","21","","","","","","","","","","","","","","","","","","","","","","",""
"1999-01-22","1999","01","22","","","","","","","","","","","","","","","","","","","","","","",""
"1999-01-23","1999","01","23","","","","","","","","","","","","","","","","","","","","","","",""
"1999-01-24","1999","01","24","","","","","","","","","","","","","","","","","","","","","","",""
"1999-01-25","1999","01","25","","","","","","","","","","","","","","","","","","","","","","",""
"1999-01-26","1999","01","26","","","","","","","","","","","","","","","","","","","","","","",""
"1999-01-27","1999","01","27","","","","","","","","","","","","","","","","","","","","","","",""
"1999-01-28","1999","01","28","","","","","","","","","","","","","","","","","","","","","","",""
"1999-01-29","1999","01","29","","","","","","","","","","","","","","","","","","","","","","",""
"1999-01-30","1999","01","30","","","","","","","","","","","","","","","","","","","","","","",""
"1999-01-31","1999","01","31","","","","","","","","","","","","","","","","","","","","","","",""
"1999-02-01","1999","02","01","","","","","","","","","","","","","","","","","","","","","","",""
"1999-02-02","1999","02","02","","","","","","","","","","","","","","","","","","","","","","",""
"1999-02-03","1999","02","03","","","","","","","","","","","","","","","","","","","","","","",""
"1999-02-04","1999","02","04","","","","","","","","","","","","","","","","","","","","","","",""
"1999-02-05","1999","02","05","","","","","","","","","","","","","","","","","","","","","","",""
"1999-02-06","1999","02","06","","","","","","","","","","","","","","","","","","","","","","",""
"1999-02-07","1999","02","07","","","","","","","","","","","","","","","","","","","","","","",""
"1999-02-08","1999","02","08","","","","","","","","","","","","","","","","","","","","","","",""
"1999-02-09","1999","02","09","","","","","","","","","","","","","","","","","","","","","","",""
"1999-02-10","1999","02","10","","","","","","","","","","","","","","","","","","","","","","",""
"1999-02-11","1999","02","11","","","","","","","","","","","","","","","","","","","","","","",""
"1999-02-12","1999","02","12","","","","","","","","","","","","","","","","","","","","","","",""
"1999-02-13","1999","02","13","","","","","","","","","","","","","","","","","","","","","","",""
"1999-02-14","1999","02","14","","","","","","","","","","","","","","","","","","","","","","",""
"1999-02-15","1999","02","15","","","","","","","","","","","","","","","","","","","","","","",""
"1999-02-16","1999","02","16","","","","","","","","","","","","","","","","","","","","","","",""
"1999-02-17","1999","02","17","","","","","","","","","","","","","","","","","","","","","","",""
"1999-02-18","1999","02","18","","","","","","","","","","","","","","","","","","","","","","",""
"1999-02-19","1999","02","19","","","","","","","","","","","","","","","","","","","","","","",""
"1999-02-20","1999","02","20","","","","","","","","","","","","","","","","","","","","","","",""
"1999-02-21","1999","02","21","","","","","","","","","","","","","","","","","","","","","","",""
"1999-02-22","1999","02","22","","","","","","","","","","","","","","","","","","","","","","",""
"1999-02-23","1999","02","23","","","","","","","","","","","","","","","","","","","","","","",""
"1999-02-24","1999","02","24","","","","","","","","","","","","","","","","","","","","","","",""
"1999-02-25","1999","02","25","","","","","","","","","","","","","","","","","","","","","","",""
"1999-02-26","1999","02","26","","","","","","","","","","","","","","","","","","","","","","",""
"1999-02-27","1999","02","27","","","","","","","","","","","","","","","","","","","","","","",""
"1999-02-28","1999","02","28","","","","","","","","","","","","","","","","","","","","","","",""
"1999-03-01","1999","03","01","","","","","","","","","","","","","","","","","","","","","","",""
"1999-03-02","1999","03","02","","","","","","","","","","","","","","","","","","","","","","",""
"1999-03-03","1999","03","03","","","","","","","","","","","","","","","","","","","","","","",""
