"Station Name","HANEY UBC RF ADMIN"
"Province","BRITISH COLUMBIA"
"Latitude","49.26"
"Longitude","-122.57"
"Elevation","147.00"
"Climate Identifier","1103332"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2012-01-01","2012","01","01","†","7.0","","0.0","","3.5","","14.5","","0.0","","0.2","","0.0","","0.2","","0","","","","",""
"2012-01-02","2012","01","02","†","8.0","","1.5","","4.8","","13.2","","0.0","","17.6","","0.0","","17.6","","0","","","","",""
"2012-01-03","2012","01","03","†","8.0","","5.0","","6.5","","11.5","","0.0","","26.0","","0.0","","26.0","","0","","","","",""
"2012-01-04","2012","01","04","†","9.0","","6.5","","7.8","","10.2","","0.0","","20.0","","0.0","","20.0","","0","","","","",""
"2012-01-05","2012","01","05","†","6.0","","3.5","","4.8","","13.2","","0.0","","3.4","","0.0","","3.4","","0","","","","",""
"2012-01-06","2012","01","06","†","4.0","","2.0","","3.0","","15.0","","0.0","","1.6","","0.0","","1.6","","0","","","","",""
"2012-01-07","2012","01","07","†","4.5","","1.0","","2.8","","15.2","","0.0","","13.2","","0.0","","13.2","","0","","","","",""
"2012-01-08","2012","01","08","†","7.0","","2.5","","4.8","","13.2","","0.0","","4.0","","0.0","","4.0","","0","","","","",""
"2012-01-09","2012","01","09","†","7.5","","5.5","","6.5","","11.5","","0.0","","0.6","","0.0","","0.6","","0","","","","",""
"2012-01-10","2012","01","10","†","5.5","","0.5","","3.0","","15.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2012-01-11","2012","01","11","†","3.5","","-2.5","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2012-01-12","2012","01","12","†","4.0","","-2.0","","1.0","","17.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2012-01-13","2012","01","13","†","2.0","","-3.5","","-0.8","","18.8","","0.0","","0.0","","11.0","","11.0","","0","","","","",""
"2012-01-14","2012","01","14","","","","","","","","","","","","","","","","","","","","","","",""
"2012-01-15","2012","01","15","†","2.5","","-4.0","","-0.8","","18.8","","0.0","","0.0","","1.1","","1.1","","0","","","","",""
"2012-01-16","2012","01","16","†","0.0","","-4.0","","-2.0","","20.0","","0.0","","0.0","","3.2","","3.2","","0","","","","",""
"2012-01-17","2012","01","17","†","-0.5","","-4.5","","-2.5","","20.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2012-01-18","2012","01","18","†","-4.5","","-9.0","","-6.8","","24.8","","0.0","","0.0","","0.0","T","0.0","T","0","","","","",""
"2012-01-19","2012","01","19","†","-2.5","","-9.5","","-6.0","","24.0","","0.0","","0.0","","3.6","","3.6","","0","","","","",""
"2012-01-20","2012","01","20","†","4.0","","-9.0","","-2.5","","20.5","","0.0","","27.0","","0.0","","27.0","","0","","","","",""
"2012-01-21","2012","01","21","","","","","","","","","","","","","","","","","","","","","","",""
"2012-01-22","2012","01","22","†","6.5","","0.0","","3.3","","14.7","","0.0","","12.2","","0.0","","12.2","","0","","","","",""
"2012-01-23","2012","01","23","†","4.0","","0.5","","2.3","","15.7","","0.0","","5.0","","0.0","","5.0","","","M","","","",""
"2012-01-24","2012","01","24","†","7.5","","0.5","","4.0","","14.0","","0.0","","32.0","","0.0","","32.0","","0","","","","",""
"2012-01-25","2012","01","25","","","","","","","","","","","","","","","","","","","","","","",""
"2012-01-26","2012","01","26","†","5.5","","1.0","","3.3","","14.7","","0.0","","14.2","","0.0","","14.2","","0","","","","",""
"2012-01-27","2012","01","27","†","4.0","","-2.0","","1.0","","17.0","","0.0","","1.4","","0.0","","1.4","","0","","","","",""
"2012-01-28","2012","01","28","†","4.0","","0.0","","2.0","","16.0","","0.0","","21.0","","0.0","","21.0","","0","","","","",""
"2012-01-29","2012","01","29","†","7.5","","1.0","","4.3","","13.7","","0.0","","27.2","","0.0","","27.2","","0","","","","",""
"2012-01-30","2012","01","30","†","7.0","","4.5","","5.8","","12.2","","0.0","","20.8","","0.0","","20.8","","0","","","","",""
"2012-01-31","2012","01","31","†","6.0","","4.0","","5.0","","13.0","","0.0","","30.4","","0.0","","30.4","","0","","","","",""
"2012-02-01","2012","02","01","†","6.0","","3.0","","4.5","","13.5","","0.0","","0.6","","0.0","","0.6","","0","","","","",""
"2012-02-02","2012","02","02","†","7.5","","1.0","","4.3","","13.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2012-02-03","2012","02","03","†","9.5","","0.0","","4.8","","13.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2012-02-04","2012","02","04","†","9.0","","0.0","","4.5","","13.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2012-02-05","2012","02","05","†","8.0","","0.0","","4.0","","14.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2012-02-06","2012","02","06","†","10.5","","-0.5","","5.0","","13.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2012-02-07","2012","02","07","†","13.0","","0.0","","6.5","","11.5","","0.0","","0.2","","0.0","","0.2","","0","","","","",""
