"Station Name","CRESTON"
"Province","BRITISH COLUMBIA"
"Latitude","49.10"
"Longitude","-116.52"
"Elevation","610.40"
"Climate Identifier","1142160"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2010-01-01","2010","01","01","†","3.0","","-2.0","","0.5","","17.5","","0.0","","8.8","","4.0","","12.8","","5","","","","",""
"2010-01-02","2010","01","02","†","7.0","","-1.0","","3.0","","15.0","","0.0","","1.0","","0.0","","1.0","","5","","","","",""
"2010-01-03","2010","01","03","†","4.5","","0.0","","2.3","","15.7","","0.0","","2.0","","0.0","","2.0","","2","","","","",""
"2010-01-04","2010","01","04","†","1.5","","-1.0","","0.3","","17.7","","0.0","","5.8","","7.2","","13.0","","0","T","","","",""
"2010-01-05","2010","01","05","†","4.0","","-1.0","","1.5","","16.5","","0.0","","1.2","","0.0","","1.2","","8","","","","",""
"2010-01-06","2010","01","06","†","-1.5","","-7.0","","-4.3","","22.3","","0.0","","0.0","","0.0","","0.0","","4","","","","",""
"2010-01-07","2010","01","07","†","-7.0","","-12.0","","-9.5","","27.5","","0.0","","0.0","","0.0","","0.0","","4","","","","",""
"2010-01-08","2010","01","08","†","-5.0","","-13.0","","-9.0","","27.0","","0.0","","0.0","","0.0","","0.0","","4","","","","",""
"2010-01-09","2010","01","09","†","-1.0","","-7.0","","-4.0","","22.0","","0.0","","0.0","","0.0","T","0.0","T","4","","","","",""
"2010-01-10","2010","01","10","†","2.0","","-3.0","","-0.5","","18.5","","0.0","","0.0","T","0.0","T","0.0","T","4","","","","",""
"2010-01-11","2010","01","11","†","2.5","","-1.0","","0.8","","17.2","","0.0","","1.2","","0.0","","1.2","","3","","","","",""
"2010-01-12","2010","01","12","†","3.0","","-1.5","","0.8","","17.2","","0.0","","7.2","","0.0","T","7.2","","3","","","","",""
"2010-01-13","2010","01","13","†","4.0","","1.0","","2.5","","15.5","","0.0","","4.0","","0.0","","4.0","","0","T","","","",""
"2010-01-14","2010","01","14","†","6.0","","2.0","","4.0","","14.0","","0.0","","1.4","","0.0","","1.4","","0","","","","",""
"2010-01-15","2010","01","15","†","4.0","","1.0","","2.5","","15.5","","0.0","","3.0","","0.0","","3.0","","0","","","","",""
"2010-01-16","2010","01","16","†","6.0","","-1.0","","2.5","","15.5","","0.0","","0.0","","0.0","T","0.0","T","0","","","","",""
"2010-01-17","2010","01","17","†","1.5","","-2.0","","-0.3","","18.3","","0.0","","5.8","","0.0","T","5.8","","0","T","","","",""
"2010-01-18","2010","01","18","†","5.0","","0.5","","2.8","","15.2","","0.0","","3.0","","0.0","","3.0","","0","","","","",""
"2010-01-19","2010","01","19","†","2.5","","-1.0","","0.8","","17.2","","0.0","","0.2","","0.0","","0.2","","0","","","","",""
"2010-01-20","2010","01","20","†","2.0","","-1.0","","0.5","","17.5","","0.0","","0.2","","0.0","","0.2","","0","","","","",""
"2010-01-21","2010","01","21","†","1.5","","-2.0","","-0.3","","18.3","","0.0","","0.0","","0.0","T","0.0","T","0","","","","",""
"2010-01-22","2010","01","22","†","5.0","","-3.0","","1.0","","17.0","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"2010-01-23","2010","01","23","†","2.5","","-3.0","","-0.3","","18.3","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-01-24","2010","01","24","†","3.0","","-2.0","","0.5","","17.5","","0.0","","0.0","","0.0","T","0.0","T","0","","","","",""
"2010-01-25","2010","01","25","†","3.0","","-2.0","","0.5","","17.5","","0.0","","1.0","","0.0","","1.0","","0","T","","","",""
"2010-01-26","2010","01","26","†","5.0","","-1.0","","2.0","","16.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-01-27","2010","01","27","†","4.5","","-5.0","","-0.3","","18.3","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-01-28","2010","01","28","†","2.5","","-5.0","","-1.3","","19.3","","0.0","","0.0","","1.0","","1.0","","0","","","","",""
"2010-01-29","2010","01","29","†","5.5","","-3.0","","1.3","","16.7","","0.0","","0.0","","0.0","","0.0","","1","","","","",""
"2010-01-30","2010","01","30","†","2.0","","-3.0","","-0.5","","18.5","","0.0","","1.4","","2.0","","3.4","","0","","","","",""
"2010-01-31","2010","01","31","†","2.5","","-1.0","","0.8","","17.2","","0.0","","2.2","","0.0","","2.2","","2","","","","",""
"2010-02-01","2010","02","01","†","5.0","","0.0","","2.5","","15.5","","0.0","","1.0","","0.0","","1.0","","0","","","","",""
"2010-02-02","2010","02","02","†","5.0","","0.0","","2.5","","15.5","","0.0","","0.6","","0.0","","0.6","","0","","","","",""
"2010-02-03","2010","02","03","†","5.0","","0.0","","2.5","","15.5","","0.0","","1.0","","0.0","","1.0","","0","","","","",""
"2010-02-04","2010","02","04","†","6.0","","0.0","","3.0","","15.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-02-05","2010","02","05","†","2.0","","-2.0","","0.0","","18.0","","0.0","","3.0","","0.0","T","3.0","","0","","","","",""
"2010-02-06","2010","02","06","†","3.5","","0.0","","1.8","","16.2","","0.0","","0.8","","0.0","","0.8","","0","T","","","",""
"2010-02-07","2010","02","07","†","8.0","","-1.0","","3.5","","14.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-02-08","2010","02","08","†","3.0","","0.0","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-02-09","2010","02","09","†","4.0","","-1.0","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-02-10","2010","02","10","†","5.0","","-1.0","","2.0","","16.0","","0.0","","1.2","","0.0","","1.2","","0","","","","",""
"2010-02-11","2010","02","11","†","5.0","","0.0","","2.5","","15.5","","0.0","","2.4","","0.0","","2.4","","0","","","","",""
"2010-02-12","2010","02","12","†","8.5","","1.0","","4.8","","13.2","","0.0","","1.6","","0.0","","1.6","","0","","","","",""
"2010-02-13","2010","02","13","†","10.0","","2.0","","6.0","","12.0","","0.0","","0.4","","0.0","","0.4","","0","","","","",""
"2010-02-14","2010","02","14","†","6.0","","1.0","","3.5","","14.5","","0.0","","3.6","","0.0","","3.6","","0","","","","",""
"2010-02-15","2010","02","15","†","8.0","","2.0","","5.0","","13.0","","0.0","","0.0","T","0.0","","0.0","T","0","","","","",""
"2010-02-16","2010","02","16","†","6.5","","2.0","","4.3","","13.7","","0.0","","1.6","","0.0","","1.6","","0","","","","",""
"2010-02-17","2010","02","17","†","9.0","","1.0","","5.0","","13.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-02-18","2010","02","18","†","7.0","","0.0","","3.5","","14.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-02-19","2010","02","19","†","8.0","","-4.0","","2.0","","16.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-02-20","2010","02","20","†","8.0","","-4.0","","2.0","","16.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-02-21","2010","02","21","†","7.0","","-6.0","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-02-22","2010","02","22","†","8.0","","-6.0","","1.0","","17.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-02-23","2010","02","23","†","8.0","","-6.0","","1.0","","17.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-02-24","2010","02","24","†","4.0","","-2.0","","1.0","","17.0","","0.0","","0.8","","0.0","","0.8","","0","","","","",""
"2010-02-25","2010","02","25","†","12.0","","-2.0","","5.0","","13.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-02-26","2010","02","26","†","9.0","","0.0","","4.5","","13.5","","0.0","","2.4","","0.0","","2.4","","0","","","","",""
"2010-02-27","2010","02","27","†","12.0","","3.0","","7.5","","10.5","","0.0","","0.0","T","0.0","","0.0","T","0","","","","",""
"2010-02-28","2010","02","28","†","12.0","","2.0","","7.0","","11.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-03-01","2010","03","01","","","","","","","","","","","","","","","","","","","","","","",""
"2010-03-02","2010","03","02","","","","","","","","","","","","","","","","","","","","","","",""
"2010-03-03","2010","03","03","","","","","","","","","","","","","","","","","","","","","","",""
"2010-03-04","2010","03","04","","","","","","","","","","","","","","","","","","","","","","",""
"2010-03-05","2010","03","05","","","","","","","","","","","","","","","","","","","","","","",""
"2010-03-06","2010","03","06","","","","","","","","","","","","","","","","","","","","","","",""
"2010-03-07","2010","03","07","","","","","","","","","","","","","","","","","","","","","","",""
"2010-03-08","2010","03","08","","","","","","","","","","","","","","","","","","","","","","",""
"2010-03-09","2010","03","09","","","","","","","","","","","","","","","","","","","","","","",""
"2010-03-10","2010","03","10","","","","","","","","","","","","","","","","","","","","","","",""
"2010-03-11","2010","03","11","","","","","","","","","","","","","","","","","","","","","","",""
"2010-03-12","2010","03","12","","","","","","","","","","","","","","","","","","","","","","",""
"2010-03-13","2010","03","13","","","","","","","","","","","","","","","","","","","","","","",""
"2010-03-14","2010","03","14","","","","","","","","","","","","","","","","","","","","","","",""
"2010-03-15","2010","03","15","","","","","","","","","","","","","","","","","","","","","","",""
"2010-03-16","2010","03","16","","","","","","","","","","","","","","","","","","","","","","",""
"2010-03-17","2010","03","17","","","","","","","","","","","","","","","","","","","","","","",""
"2010-03-18","2010","03","18","","","","","","","","","","","","","","","","","","","","","","",""
"2010-03-19","2010","03","19","","","","","","","","","","","","","","","","","","","","","","",""
"2010-03-20","2010","03","20","","","","","","","","","","","","","","","","","","","","","","",""
"2010-03-21","2010","03","21","","","","","","","","","","","","","","","","","","","","","","",""
"2010-03-22","2010","03","22","","","","","","","","","","","","","","","","","","","","","","",""
"2010-03-23","2010","03","23","","","","","","","","","","","","","","","","","","","","","","",""
"2010-03-24","2010","03","24","","","","","","","","","","","","","","","","","","","","","","",""
"2010-03-25","2010","03","25","","","","","","","","","","","","","","","","","","","","","","",""
"2010-03-26","2010","03","26","","","","","","","","","","","","","","","","","","","","","","",""
"2010-03-27","2010","03","27","","","","","","","","","","","","","","","","","","","","","","",""
"2010-03-28","2010","03","28","","","","","","","","","","","","","","","","","","","","","","",""
"2010-03-29","2010","03","29","","","","","","","","","","","","","","","","","","","","","","",""
"2010-03-30","2010","03","30","","","","","","","","","","","","","","","","","","","","","","",""
"2010-03-31","2010","03","31","","","","","","","","","","","","","","","","","","","","","","",""
"2010-04-01","2010","04","01","","","","","","","","","","","","","","","","","","","","","","",""
"2010-04-02","2010","04","02","","","","","","","","","","","","","","","","","","","","","","",""
"2010-04-03","2010","04","03","","","","","","","","","","","","","","","","","","","","","","",""
"2010-04-04","2010","04","04","","","","","","","","","","","","","","","","","","","","","","",""
"2010-04-05","2010","04","05","","","","","","","","","","","","","","","","","","","","","","",""
"2010-04-06","2010","04","06","","","","","","","","","","","","","","","","","","","","","","",""
"2010-04-07","2010","04","07","","","","","","","","","","","","","","","","","","","","","","",""
"2010-04-08","2010","04","08","","","","","","","","","","","","","","","","","","","","","","",""
"2010-04-09","2010","04","09","","","","","","","","","","","","","","","","","","","","","","",""
"2010-04-10","2010","04","10","","","","","","","","","","","","","","","","","","","","","","",""
"2010-04-11","2010","04","11","","","","","","","","","","","","","","","","","","","","","","",""
"2010-04-12","2010","04","12","","","","","","","","","","","","","","","","","","","","","","",""
"2010-04-13","2010","04","13","","","","","","","","","","","","","","","","","","","","","","",""
"2010-04-14","2010","04","14","","","","","","","","","","","","","","","","","","","","","","",""
"2010-04-15","2010","04","15","","","","","","","","","","","","","","","","","","","","","","",""
"2010-04-16","2010","04","16","","","","","","","","","","","","","","","","","","","","","","",""
"2010-04-17","2010","04","17","","","","","","","","","","","","","","","","","","","","","","",""
"2010-04-18","2010","04","18","","","","","","","","","","","","","","","","","","","","","","",""
"2010-04-19","2010","04","19","","","","","","","","","","","","","","","","","","","","","","",""
"2010-04-20","2010","04","20","","","","","","","","","","","","","","","","","","","","","","",""
"2010-04-21","2010","04","21","","","","","","","","","","","","","","","","","","","","","","",""
"2010-04-22","2010","04","22","","","","","","","","","","","","","","","","","","","","","","",""
"2010-04-23","2010","04","23","","","","","","","","","","","","","","","","","","","","","","",""
"2010-04-24","2010","04","24","","","","","","","","","","","","","","","","","","","","","","",""
"2010-04-25","2010","04","25","","","","","","","","","","","","","","","","","","","","","","",""
"2010-04-26","2010","04","26","","","","","","","","","","","","","","","","","","","","","","",""
"2010-04-27","2010","04","27","","","","","","","","","","","","","","","","","","","","","","",""
"2010-04-28","2010","04","28","","","","","","","","","","","","","","","","","","","","","","",""
"2010-04-29","2010","04","29","","","","","","","","","","","","","","","","","","","","","","",""
"2010-04-30","2010","04","30","","","","","","","","","","","","","","","","","","","","","","",""
"2010-05-01","2010","05","01","†","13.0","","4.0","","8.5","","9.5","","0.0","","0.8","","0.0","","0.8","","0","","","","",""
"2010-05-02","2010","05","02","†","15.0","","1.0","","8.0","","10.0","","0.0","","3.0","","0.0","","3.0","","0","","","","",""
"2010-05-03","2010","05","03","†","12.0","","4.0","","8.0","","10.0","","0.0","","6.6","","0.0","","6.6","","0","","","","",""
"2010-05-04","2010","05","04","†","11.0","","4.0","","7.5","","10.5","","0.0","","1.4","","0.0","","1.4","","0","","","","",""
"2010-05-05","2010","05","05","†","11.0","","3.0","","7.0","","11.0","","0.0","","4.4","","0.0","","4.4","","0","","","","",""
"2010-05-06","2010","05","06","†","14.0","","0.0","","7.0","","11.0","","0.0","","0.0","T","0.0","","0.0","T","0","","","","",""
"2010-05-07","2010","05","07","†","14.5","","4.0","","9.3","","8.7","","0.0","","0.6","","0.0","","0.6","","0","","","","",""
"2010-05-08","2010","05","08","†","14.0","","4.0","","9.0","","9.0","","0.0","","0.0","T","0.0","","0.0","T","0","","","","",""
"2010-05-09","2010","05","09","†","15.0","","2.0","","8.5","","9.5","","0.0","","2.8","","0.0","","2.8","","0","","","","",""
"2010-05-10","2010","05","10","†","19.5","","1.0","","10.3","","7.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-05-11","2010","05","11","†","20.5","","3.0","","11.8","","6.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-05-12","2010","05","12","†","23.0","","3.0","","13.0","","5.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-05-13","2010","05","13","†","21.5","","4.0","","12.8","","5.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-05-14","2010","05","14","†","25.0","","6.0","","15.5","","2.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-05-15","2010","05","15","†","26.0","","6.0","","16.0","","2.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-05-16","2010","05","16","†","21.0","","8.0","","14.5","","3.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-05-17","2010","05","17","†","24.5","","8.0","","16.3","","1.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-05-18","2010","05","18","†","23.0","","12.0","","17.5","","0.5","","0.0","","0.0","T","0.0","","0.0","T","0","","","","",""
"2010-05-19","2010","05","19","†","22.5","","11.0","","16.8","","1.2","","0.0","","5.2","","0.0","","5.2","","0","","","","",""
"2010-05-20","2010","05","20","†","14.0","","6.0","","10.0","","8.0","","0.0","","3.0","","0.0","","3.0","","0","","","","",""
"2010-05-21","2010","05","21","†","14.0","","4.0","","9.0","","9.0","","0.0","","0.0","T","0.0","","0.0","T","0","","","","",""
"2010-05-22","2010","05","22","†","17.0","","0.0","","8.5","","9.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-05-23","2010","05","23","†","16.0","","1.0","","8.5","","9.5","","0.0","","1.0","","0.0","","1.0","","0","","","","",""
"2010-05-24","2010","05","24","†","21.0","","1.0","","11.0","","7.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-05-25","2010","05","25","†","21.5","","7.0","","14.3","","3.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-05-26","2010","05","26","†","21.0","","7.0","","14.0","","4.0","","0.0","","3.2","","0.0","","3.2","","0","","","","",""
"2010-05-27","2010","05","27","†","13.0","","10.0","","11.5","","6.5","","0.0","","5.2","","0.0","","5.2","","0","","","","",""
"2010-05-28","2010","05","28","†","18.0","","8.0","","13.0","","5.0","","0.0","","3.8","","0.0","","3.8","","0","","","","",""
"2010-05-29","2010","05","29","†","13.0","","8.0","","10.5","","7.5","","0.0","","15.8","","0.0","","15.8","","0","","","","",""
"2010-05-30","2010","05","30","†","16.0","","8.0","","12.0","","6.0","","0.0","","4.4","","0.0","","4.4","","0","","","","",""
"2010-05-31","2010","05","31","","","","","","","","","","","","","","","","","","","","","","",""
"2010-06-01","2010","06","01","†","19.0","","10.0","","14.5","","3.5","","0.0","","3.8","","0.0","","3.8","","0","","","","",""
"2010-06-02","2010","06","02","†","15.0","","9.0","","12.0","","6.0","","0.0","","21.4","","0.0","","21.4","","0","","","","",""
"2010-06-03","2010","06","03","†","18.0","","8.0","","13.0","","5.0","","0.0","","0.8","","0.0","","0.8","","0","","","","",""
"2010-06-04","2010","06","04","†","14.0","","7.0","","10.5","","7.5","","0.0","","4.2","","0.0","","4.2","","0","","","","",""
"2010-06-05","2010","06","05","†","19.0","","8.0","","13.5","","4.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-06-06","2010","06","06","†","17.0","","6.0","","11.5","","6.5","","0.0","","6.4","","0.0","","6.4","","0","","","","",""
"2010-06-07","2010","06","07","†","19.0","","9.0","","14.0","","4.0","","0.0","","0.8","","0.0","","0.8","","0","","","","",""
"2010-06-08","2010","06","08","†","23.5","","7.0","","15.3","","2.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-06-09","2010","06","09","†","17.0","","10.0","","13.5","","4.5","","0.0","","14.6","","0.0","","14.6","","0","","","","",""
"2010-06-10","2010","06","10","†","17.0","","9.0","","13.0","","5.0","","0.0","","7.0","","0.0","","7.0","","0","","","","",""
"2010-06-11","2010","06","11","†","21.0","","9.0","","15.0","","3.0","","0.0","","0.4","","0.0","","0.4","","0","","","","",""
"2010-06-12","2010","06","12","†","25.0","","7.0","","16.0","","2.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-06-13","2010","06","13","†","28.0","","8.0","","18.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-06-14","2010","06","14","†","24.0","","12.0","","18.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-06-15","2010","06","15","†","22.0","","8.0","","15.0","","3.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-06-16","2010","06","16","†","12.0","","8.0","","10.0","","8.0","","0.0","","24.4","","0.0","","24.4","","0","","","","",""
"2010-06-17","2010","06","17","†","13.0","","8.0","","10.5","","7.5","","0.0","","13.6","","0.0","","13.6","","0","","","","",""
"2010-06-18","2010","06","18","†","19.0","","8.0","","13.5","","4.5","","0.0","","1.8","","0.0","","1.8","","0","","","","",""
"2010-06-19","2010","06","19","†","25.0","","7.0","","16.0","","2.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-06-20","2010","06","20","†","25.0","","10.0","","17.5","","0.5","","0.0","","4.6","","0.0","","4.6","","0","","","","",""
"2010-06-21","2010","06","21","†","18.0","","13.0","","15.5","","2.5","","0.0","","1.4","","0.0","","1.4","","0","","","","",""
"2010-06-22","2010","06","22","†","23.0","","10.0","","16.5","","1.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-06-23","2010","06","23","†","25.0","","10.0","","17.5","","0.5","","0.0","","0.0","T","0.0","","0.0","T","0","","","","",""
"2010-06-24","2010","06","24","†","28.0","","12.0","","20.0","","0.0","","2.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-06-25","2010","06","25","†","26.0","","11.0","","18.5","","0.0","","0.5","","0.0","","0.0","","0.0","","0","","","","",""
"2010-06-26","2010","06","26","†","28.0","","11.0","","19.5","","0.0","","1.5","","0.0","","0.0","","0.0","","0","","","","",""
"2010-06-27","2010","06","27","†","28.0","","11.0","","19.5","","0.0","","1.5","","0.0","","0.0","","0.0","","0","","","","",""
"2010-06-28","2010","06","28","†","30.0","","14.0","","22.0","","0.0","","4.0","","0.0","T","0.0","","0.0","T","0","","","","",""
"2010-06-29","2010","06","29","†","29.0","","15.0","","22.0","","0.0","","4.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-06-30","2010","06","30","†","23.0","","13.0","","18.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-07-01","2010","07","01","†","21.0","","8.0","","14.5","","3.5","","0.0","","2.6","","0.0","","2.6","","0","","","","",""
"2010-07-02","2010","07","02","†","18.0","","11.0","","14.5","","3.5","","0.0","","9.4","","0.0","","9.4","","0","","","","",""
"2010-07-03","2010","07","03","†","19.0","","8.0","","13.5","","4.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-07-04","2010","07","04","†","17.0","","10.0","","13.5","","4.5","","0.0","","3.6","","0.0","","3.6","","0","","","","",""
"2010-07-05","2010","07","05","†","21.0","","7.0","","14.0","","4.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
