"Station Name","VICTORIA HARBOUR A"
"Province","BRITISH COLUMBIA"
"Current Station Operator","NAV Canada"
"Latitude","48.42"
"Longitude","-123.39"
"Elevation","0.00"
"Climate Identifier","1018633"
"WMO Identifier",""
"TC Identifier","YWH"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2019-01-01","2019","01","01","","6.1","","1.7","","3.9","","14.1","","0.0","","","","","","","M","","","","","",""
"2019-01-02","2019","01","02","","6.3","","3.1","","4.7","","13.3","","0.0","","","","","","","M","","","","","",""
"2019-01-03","2019","01","03","","10.5","","5.2","","7.9","","10.1","","0.0","","","","","","","M","","","","","",""
"2019-01-04","2019","01","04","","10.8","","6.4","","8.6","","9.4","","0.0","","","","","","","M","","","","","",""
"2019-01-05","2019","01","05","","10.0","","6.6","","8.3","","9.7","","0.0","","","","","","","M","","","","","",""
"2019-01-06","2019","01","06","","9.1","","4.5","","6.8","","11.2","","0.0","","","","","","","M","","","25","","66",""
"2019-01-07","2019","01","07","","7.2","","3.0","","5.1","","12.9","","0.0","","","","","","","M","","","24","","36",""
"2019-01-08","2019","01","08","","6.9","","3.7","","5.3","","12.7","","0.0","","","","","","","M","","","1","","32",""
"2019-01-09","2019","01","09","","10.0","","5.0","","7.5","","10.5","","0.0","","","","","","","M","","","12","","49",""
"2019-01-10","2019","01","10","","10.7","","7.8","","9.3","","8.7","","0.0","","","","","","","M","","","","","",""
"2019-01-11","2019","01","11","","11.0","","8.3","","9.7","","8.3","","0.0","","","","","","","M","","","","","",""
"2019-01-12","2019","01","12","","10.5","","6.9","","8.7","","9.3","","0.0","","","","","","","M","","","","","",""
"2019-01-13","2019","01","13","","10.8","","4.3","","7.6","","10.4","","0.0","","","","","","","M","","","","","",""
"2019-01-14","2019","01","14","","9.0","","2.9","","6.0","","12.0","","0.0","","","","","","","M","","","","","",""
"2019-01-15","2019","01","15","","7.9","","3.4","","5.7","","12.3","","0.0","","","","","","","M","","","","","",""
"2019-01-16","2019","01","16","","7.5","","3.4","","5.5","","12.5","","0.0","","","","","","","M","","","1","","33",""
"2019-01-17","2019","01","17","","10.3","","5.7","","8.0","","10.0","","0.0","","","","","","","M","","","14","","38",""
"2019-01-18","2019","01","18","","9.4","","7.9","","8.7","","9.3","","0.0","","","","","","","M","","","11","","51",""
"2019-01-19","2019","01","19","","10.8","","6.3","","8.6","","9.4","","0.0","","","","","","","M","","","24","","43",""
"2019-01-20","2019","01","20","","8.5","","2.4","","5.5","","12.5","","0.0","","","","","","","M","","","","","",""
"2019-01-21","2019","01","21","","7.9","","0.6","","4.3","","13.7","","0.0","","","","","","","M","","","","","",""
"2019-01-22","2019","01","22","","7.5","","4.2","","5.9","","12.1","","0.0","","","","","","","M","","","11","","35",""
"2019-01-23","2019","01","23","","9.9","","6.3","","8.1","","9.9","","0.0","","","","","","","M","","","27","","33",""
"2019-01-24","2019","01","24","","8.3","","6.2","","7.3","","10.7","","0.0","","","","","","","M","","","","","",""
"2019-01-25","2019","01","25","","8.6","","5.0","","6.8","","11.2","","0.0","","","","","","","M","","","","","",""
"2019-01-26","2019","01","26","","8.3","","4.4","","6.4","","11.6","","0.0","","","","","","","M","","","","","",""
"2019-01-27","2019","01","27","","7.6","","4.9","","6.3","","11.7","","0.0","","","","","","","M","","","","","",""
"2019-01-28","2019","01","28","","8.8","","3.7","","6.3","","11.7","","0.0","","","","","","","M","","","","","",""
"2019-01-29","2019","01","29","","8.4","","3.5","","6.0","","12.0","","0.0","","","","","","","M","","","","","",""
"2019-01-30","2019","01","30","","7.7","","2.5","","5.1","","12.9","","0.0","","","","","","","M","","","","","",""
"2019-01-31","2019","01","31","","8.3","","4.5","","6.4","","11.6","","0.0","","","","","","","M","","","","","",""
"2019-02-01","2019","02","01","","9.3","","5.9","","7.6","","10.4","","0.0","","","","","","","M","","","","","",""
"2019-02-02","2019","02","02","","9.0","","4.6","","6.8","","11.2","","0.0","","","","","","","M","","","26","","32",""
"2019-02-03","2019","02","03","","4.8","","-3.8","","0.5","","17.5","","0.0","","","","","","","M","","","25","","55",""
"2019-02-04","2019","02","04","","-0.5","","-4.8","","-2.7","","20.7","","0.0","","","","","","","M","","","4","","41",""
"2019-02-05","2019","02","05","","1.9","","-5.1","","-1.6","","19.6","","0.0","","","","","","","M","","","","","",""
"2019-02-06","2019","02","06","","2.6","","-3.2","","-0.3","","18.3","","0.0","","","","","","","M","","","","","",""
"2019-02-07","2019","02","07","","3.1","","-2.3","","0.4","","17.6","","0.0","","","","","","","M","","","","","",""
"2019-02-08","2019","02","08","","2.8","","-1.5","","0.7","","17.3","","0.0","","","","","","","M","","","3","","47",""
"2019-02-09","2019","02","09","","0.5","","-3.1","","-1.3","","19.3","","0.0","","","","","","","M","","","3","","60",""
"2019-02-10","2019","02","10","","2.3","","-4.5","","-1.1","","19.1","","0.0","","","","","","","M","","","10","","46",""
"2019-02-11","2019","02","11","","0.2","","-3.2","","-1.5","","19.5","","0.0","","","","","","","M","","","","","",""
"2019-02-12","2019","02","12","","0.9","","-1.1","","-0.1","","18.1","","0.0","","","","","","","M","","","","","",""
"2019-02-13","2019","02","13","","2.1","","-0.3","","0.9","","17.1","","0.0","","","","","","","M","","","","","",""
"2019-02-14","2019","02","14","","3.4","","-1.0","","1.2","","16.8","","0.0","","","","","","","M","","","","","",""
"2019-02-15","2019","02","15","","6.4","","1.1","","3.8","","14.2","","0.0","","","","","","","M","","","","","",""
"2019-02-16","2019","02","16","","7.4","","0.7","","4.1","","13.9","","0.0","","","","","","","M","","","","","",""
"2019-02-17","2019","02","17","","6.8","","2.6","","4.7","","13.3","","0.0","","","","","","","M","","","","","",""
"2019-02-18","2019","02","18","","5.2","","0.6","","2.9","","15.1","","0.0","","","","","","","M","","","","","",""
"2019-02-19","2019","02","19","","6.3","","2.1","","4.2","","13.8","","0.0","","","","","","","M","","","24","","35",""
