"Station Name","DUNCAN LAKE DAM"
"Province","BRITISH COLUMBIA"
"Latitude","50.24"
"Longitude","-116.97"
"Elevation","548.60"
"Climate Identifier","1142574"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2010-01-01","2010","01","01","†","3.0","","-2.0","","0.5","","17.5","","0.0","","8.6","","1.0","","9.6","","24","","","","",""
"2010-01-02","2010","01","02","†","5.5","","-1.5","","2.0","","16.0","","0.0","","1.6","","0.0","","1.6","","29","","","","",""
"2010-01-03","2010","01","03","†","4.0","","0.5","","2.3","","15.7","","0.0","","2.8","","0.0","","2.8","","23","","","","",""
"2010-01-04","2010","01","04","†","2.0","","0.0","","1.0","","17.0","","0.0","","3.2","","0.0","T","3.2","","20","","","","",""
"2010-01-05","2010","01","05","†","2.0","","0.0","","1.0","","17.0","","0.0","","1.4","","0.0","","1.4","","19","","","","",""
"2010-01-06","2010","01","06","†","-4.0","","-9.0","","-6.5","","24.5","","0.0","","0.0","","0.0","","0.0","","19","","","","",""
"2010-01-07","2010","01","07","†","-6.5","","-14.5","","-10.5","","28.5","","0.0","","0.0","","0.0","","0.0","","19","","","","",""
"2010-01-08","2010","01","08","†","-4.0","","-14.5","","-9.3","","27.3","","0.0","","0.0","","1.0","","1.0","","19","","","","",""
"2010-01-09","2010","01","09","†","-2.0","","-9.0","","-5.5","","23.5","","0.0","","0.0","","0.0","","0.0","","20","","","","",""
"2010-01-10","2010","01","10","†","0.0","","-4.5","","-2.3","","20.3","","0.0","","0.0","","2.0","","2.0","","20","","","","",""
"2010-01-11","2010","01","11","†","0.5","","-3.0","","-1.3","","19.3","","0.0","","9.6","","1.0","","10.6","","22","","","","",""
"2010-01-12","2010","01","12","†","2.5","","-0.5","","1.0","","17.0","","0.0","","6.0","","0.0","","6.0","","22","","","","",""
"2010-01-13","2010","01","13","†","4.5","","0.0","","2.3","","15.7","","0.0","","3.4","","0.0","","3.4","","21","","","","",""
"2010-01-14","2010","01","14","†","5.5","","0.5","","3.0","","15.0","","0.0","","3.2","","0.0","","3.2","","19","","","","",""
"2010-01-15","2010","01","15","†","4.5","","3.0","","3.8","","14.2","","0.0","","8.9","","0.0","","8.9","","12","","","","",""
"2010-01-16","2010","01","16","†","4.5","","-0.5","","2.0","","16.0","","0.0","","0.0","","0.0","T","0.0","T","8","","","","",""
"2010-01-17","2010","01","17","†","0.5","","-2.0","","-0.8","","18.8","","0.0","","0.0","","2.0","","2.0","","8","","","","",""
"2010-01-18","2010","01","18","†","4.5","","-1.5","","1.5","","16.5","","0.0","","2.8","","0.0","","2.8","","10","","","","",""
"2010-01-19","2010","01","19","†","2.5","","-0.5","","1.0","","17.0","","0.0","","0.4","","0.0","","0.4","","7","","","","",""
"2010-01-20","2010","01","20","†","2.0","","-3.0","","-0.5","","18.5","","0.0","","0.0","","0.0","","0.0","","7","","","","",""
"2010-01-21","2010","01","21","†","1.5","","-4.5","","-1.5","","19.5","","0.0","","0.0","","0.0","","0.0","","7","","","","",""
"2010-01-22","2010","01","22","†","3.5","","-4.5","","-0.5","","18.5","","0.0","","0.0","","0.0","","0.0","","7","","","","",""
"2010-01-23","2010","01","23","†","2.5","","-6.0","","-1.8","","19.8","","0.0","","0.0","","0.0","T","0.0","T","7","","","","",""
"2010-01-24","2010","01","24","†","1.0","","-6.5","","-2.8","","20.8","","0.0","","0.0","","1.0","","1.0","","7","","","","",""
"2010-01-25","2010","01","25","†","1.5","","-3.5","","-1.0","","19.0","","0.0","","1.0","","0.0","","1.0","","7","","","","",""
"2010-01-26","2010","01","26","†","3.0","","-2.0","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","7","","","","",""
"2010-01-27","2010","01","27","†","2.5","","-8.5","","-3.0","","21.0","","0.0","","0.0","","0.0","","0.0","","7","","","","",""
"2010-01-28","2010","01","28","†","0.5","","-8.5","","-4.0","","22.0","","0.0","","0.0","","0.0","T","0.0","T","7","","","","",""
"2010-01-29","2010","01","29","†","3.0","","-6.0","","-1.5","","19.5","","0.0","","0.0","","0.0","","0.0","","7","","","","",""
"2010-01-30","2010","01","30","†","1.0","","-4.5","","-1.8","","19.8","","0.0","","0.0","","3.0","","3.0","","7","","","","",""
"2010-01-31","2010","01","31","†","","M","-2.0","","","M","","M","","M","0.0","","0.0","","0.0","","12","","","","",""
"2010-02-01","2010","02","01","†","5.0","","-0.5","","2.3","","15.7","","0.0","","1.6","","0.0","","1.6","","8","","","","",""
"2010-02-02","2010","02","02","†","4.0","","0.5","","2.3","","15.7","","0.0","","1.2","","0.0","","1.2","","7","","","","",""
"2010-02-03","2010","02","03","†","5.5","","0.0","","2.8","","15.2","","0.0","","0.0","","0.0","","0.0","","6","","","","",""
"2010-02-04","2010","02","04","†","5.0","","-2.0","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","4","","","","",""
"2010-02-05","2010","02","05","†","2.5","","-2.5","","0.0","","18.0","","0.0","","0.0","","0.0","T","0.0","T","3","","","","",""
"2010-02-06","2010","02","06","†","5.0","","-2.5","","1.3","","16.7","","0.0","","0.0","","0.0","","0.0","","2","","","","",""
"2010-02-07","2010","02","07","†","6.0","","-3.0","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","2","","","","",""
"2010-02-08","2010","02","08","†","4.5","","-3.5","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","2","","","","",""
"2010-02-09","2010","02","09","†","3.0","","-2.5","","0.3","","17.7","","0.0","","0.0","","3.0","","3.0","","2","","","","",""
"2010-02-10","2010","02","10","†","3.5","","-2.0","","0.8","","17.2","","0.0","","0.0","","0.0","T","0.0","T","5","","","","",""
"2010-02-11","2010","02","11","†","4.0","","-1.0","","1.5","","16.5","","0.0","","2.8","","0.0","T","2.8","","4","","","","",""
"2010-02-12","2010","02","12","†","3.0","","-0.5","","1.3","","16.7","","0.0","","3.0","","0.0","","3.0","","3","","","","",""
"2010-02-13","2010","02","13","†","7.0","","0.0","","3.5","","14.5","","0.0","","4.2","","0.0","","4.2","","3","","","","",""
"2010-02-14","2010","02","14","†","4.0","","0.5","","2.3","","15.7","","0.0","","0.3","","0.0","","0.3","","2","","","","",""
"2010-02-15","2010","02","15","†","5.5","","1.0","","3.3","","14.7","","0.0","","0.3","","0.0","","0.3","","2","","","","",""
"2010-02-16","2010","02","16","†","5.0","","0.0","","2.5","","15.5","","0.0","","3.6","","0.0","","3.6","","1","","","","",""
"2010-02-17","2010","02","17","†","8.0","","1.0","","4.5","","13.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-02-18","2010","02","18","†","8.0","","-2.0","","3.0","","15.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-02-19","2010","02","19","†","5.5","","-5.0","","0.3","","17.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-02-20","2010","02","20","†","5.0","","-6.5","","-0.8","","18.8","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-02-21","2010","02","21","†","7.0","","-7.0","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-02-22","2010","02","22","†","6.0","","-8.0","","-1.0","","19.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-02-23","2010","02","23","†","5.5","","-7.0","","-0.8","","18.8","","0.0","","0.0","","0.0","T","0.0","T","0","","","","",""
"2010-02-24","2010","02","24","†","6.0","","-6.0","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"2010-02-25","2010","02","25","†","8.0","","-1.0","","3.5","","14.5","","0.0","","1.0","","0.0","","1.0","","0","","","","",""
"2010-02-26","2010","02","26","†","7.5","","-0.5","","3.5","","14.5","","0.0","","0.8","","0.0","","0.8","","0","","","","",""
"2010-02-27","2010","02","27","†","7.0","","0.0","","3.5","","14.5","","0.0","","0.2","","0.0","","0.2","","0","","","","",""
"2010-02-28","2010","02","28","†","9.0","","1.0","","5.0","","13.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-03-01","2010","03","01","†","11.5","","-3.0","","4.3","","13.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-03-02","2010","03","02","†","8.5","","-2.5","","3.0","","15.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2010-03-03","2010","03","03","†","13.0","","3.0","","8.0","","10.0","","0.0","","1.4","","0.0","","1.4","","0","","","","",""
"2010-03-04","2010","03","04","†","10.0","","-3.0","","3.5","","14.5","","0.0","","0.2","","0.0","","0.2","","0","","","","",""
"2010-03-05","2010","03","05","†","12.5","","-2.0","","5.3","","12.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
