"Station Name","WEST VANCOUVER AUT"
"Province","BRITISH COLUMBIA"
"Latitude","49.35"
"Longitude","-123.19"
"Elevation","170.20"
"Climate Identifier","1108824"
"WMO Identifier","71784"
"TC Identifier","WWA"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2007-01-01","2007","01","01","","7.0","","3.7","","5.4","","12.6","","0.0","","","","","","50.1","","","","","","",""
"2007-01-02","2007","01","02","","11.7","","4.6","","8.2","","9.8","","0.0","","","","","","59.0","","","","","","",""
"2007-01-03","2007","01","03","","7.3","","3.1","","5.2","","12.8","","0.0","","","","","","6.0","E","","","","","",""
"2007-01-04","2007","01","04","","5.4","","0.0","","2.7","","15.3","","0.0","","","","","","1.2","","","","","","",""
"2007-01-05","2007","01","05","","5.0","","-0.9","","2.1","","15.9","","0.0","","","","","","50.6","","","","","","",""
"2007-01-06","2007","01","06","","5.3","","0.2","","2.8","","15.2","","0.0","","","","","","5.5","","","","","","",""
"2007-01-07","2007","01","07","","7.7","","1.7","","4.7","","13.3","","0.0","","","","","","39.4","","","","","","",""
"2007-01-08","2007","01","08","","5.2","","1.3","","3.3","","14.7","","0.0","","","","","","1.5","","","","","","",""
"2007-01-09","2007","01","09","","7.3","","-0.9","","3.2","","14.8","","0.0","","","","","","6.0","","","","","","",""
"2007-01-10","2007","01","10","","0.6","","-2.8","","-1.1","","19.1","","0.0","","","","","","4.0","","","","","","",""
"2007-01-11","2007","01","11","","0.2","","-5.8","","-2.8","","20.8","","0.0","","","","","","0.0","","","","","","",""
